question|ref_ans|student_ans|accuracy|explainationWhat role does the path play in determining whether or not a switch affects a bulb?|If a bulb and a switch are in the same path the switch affects the bulb|if the switch is contained in the path with the bulb, the switch affects the bulb.|correct|: Path continues from the source to a point P. There is also a path which goes through target and at some stage in its pathway it encounters an obstacle S (either switch depicted in figure). As long as no obstacles are inside any segment of this last contiguous free-space conduit whose beginning or end is outside containment sphere
What does a voltage reading of 0 tell you about the connection between a bulb terminal and a battery terminal?|the terminals are connected|there is no difference in electrical states|incorrect|: the two wires connect to each other; even if we do not read a voltage, there is always some electrically connected between leads. This can be verified by touching metal connectors together and one senses an electrical sensation upon completion of connection. Furthermore, using jumper cables from 'connector P3' on board 5 would
Explain why you got a voltage reading of 0 for terminal 6 and the positive terminal.|Terminal 6 and the positive terminal are connected|there is no gap between the positive battery terminal and terminal 6|correct|: Terminal 6 is ground (-)
Why do you think those terminals and the negative battery terminal are in the same state?|Terminals 1, 2 and 3 are connected to the negative battery terminal|because neither of them are recieving current|correct|: Pairs 1 and 2 are connected to each other through Terminals 4 & 5. Therefor there is no gap between them, therefore they share the same polarity. Only Terminal 3 has an electrical gap from any of these terminals because it always recieves current directly form one terminal at a time rather then sharing that
Explain why you got a voltage reading of 0 for terminal 1 and terminal 4.|Terminals 1 and 4 are connected|terminal 1 is connected to terminal 4|correct|: The terminals are connected.
Why was bulb C off when switch Z was open?|Bulb C was no longer in a closed path with the battery|bulb c was contained in an open path with the battery|correct|: students must realize that since the light bulb was contained in an open circuit, with no complete or closed paths containing it, then its filament cannot emit any electrons. This is why the light was out when switch Z is opened
Explain why you got a voltage reading of 1.5 for terminal 1 and terminal 6.|Terminals 1 and 6 are separated by the gap|there is a gap between terminal 1 and terminal 6|correct|: the low voltage helps prove that
Why does measuring voltage help you locate a burned out bulb? Try to answer in terms of electrical states, connections and/ or a gap.|Measuring voltage indicates the place where the electrical state changes due to a damaged bulb.|because if there is a difference in electrial states then there is a gap. That will located the burned out bulb|correct|: Power is measured in volts.If the power supply is connected to an electrical state that does not change voltage then something has caused a break or gap somewhere between where it connects and leads into the bulb.The exact location of this junction can be determined by measuring different voltages on either side,when you locate one with
Why was bulb A on when switch Y was open and switch Z was closed?|Bulb A is still contained in a closed path with the battery.|there was a closed path not effected by the switch|incorrect|: Z closes the path from P through A, so what's controlled are all lights between B & C.
When switch X was closed and switch Y was open, why was bulb A on?|Bulb A was still contained in the same closed path with the battery.|because bulb a was still in a closed path with the battery|correct|: By asking this question, we can assess whether the student knows what a closed path is. A quick look at figure 1 suggests that an acceptable answer could be "bulb X," because switches B and C are both open, so bulb Y must have been on before switch D was opened! The use of a check
Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.|Terminal 1 and the positive terminal are separated by the gap|positive battery terminal is separated by a gap from terminal 1|correct|: The terminals are indicated correctly, however if you just looked only at the drawing of terminal 1 would not be able to see that there is a positive battery terminal because it appears that they both have negative markings. 5.) Students took apart hard drive
Explain why you got a voltage reading of 0 for terminal 1 and terminal 2.|Terminals 1 and 2 are connected|terminal 1 is connected to terminal 2|correct|:Under what circumstances will a switch affect a bulb?|When the switch and the bulb are contained in the same path|if the switch and bulb are contained in the same path, the switch will affect the bulb.|correct|: For whatever reason you apparently added a lamp to this question and we need not be concerned about that (at least I am hopeful). What matters is which devices share the same path. When they do, only one of those will respond when enabled or disabled with regard to its neighbor sharing another direct exit from within but no
Why does an open switch impact a circuit?|the open switch creates a gap|it causes an open circuit|incorrect|: as stated in the image above, if a switch is open it will create an OPEN CIRCUIT. As Ohm's Law states resistance equals constant times Voltage over Current this means that for all things equal which should be true other than no flow of current through and out around (open circuit) there would cause
When switch X was open and switch Y was closed, why were bulbs B and C on?|Bulb B and Bulb C were still contained in the same closed path with the battery.|because bulb b and c were still in a closed path with the battery|correct|: Here we could ask about multiple switches and how they interconnect to form a closed path for electrical flow, but let's instead lead the question back toward circuits with one switch. The image below might help (source Wikipedia)
What does a voltage reading of 1.5 tell you about the connection between a bulb terminal and a battery terminal?|the terminals are not connected|the termials are the oppsite|incorrect|: Sorry, that's just not possible . If the terminals are unconnected then you will get no if any voltage into the resistance to check it. There should be some very small reading of something like 0 volts due to internal battery potential difference between multiple cells caused by cell engineering process which is impossible for students or anyone but
Explain why circuit 5 is a short circuit.|the battery is contained in a path in which there is no bulb|the battery is contained in a closed path without any devices|correct|: see figure B. It's clearly a short circuit since the outer loop represents an equal path for both sides of battery b1 Reference: The MIT Licence terms * See answer explanation
Why does a damaged bulb impact a circuit?|a damaged bulb creates a gap|a damaged bulb causes a gap at the blub|correct|: Failure of a bulb or component interrupts the circuit. Without proper contact, current will not flow through the closed switch contacts and power to lights is cut off.
What are the conditions that are required to make a bulb light up?|there is a closed path containing both the bulb and a battery|a complete circuit of electricty|correct|: No conditions are needed for this; it is self-explanatory ( by the definition of a complete
Explain why circuit 4 is not a short circuit.|Circuit 4 has no closed paths|the battery is not contained in a closed path|correct|: A short circuit is a connection between two points in a conductive path. There is no closed
What do you think the red X means?|the battery is damaged|a short circuit|correct|: The Anode (positive terminal) is missing Under what circumstances will a damaged/ burned out bulb affect another bulb?|If they are in the same path the burned out bulb affects the other bulb.|if the damaged bulb and the other bulb are contained within the same path|correct|: The destroyed bulb is in the circuit and therefore one less element supplying positive current to its lightbulb. Since all of these elements are contained within different paths, if their bulbs burn out simultaneously they will not be affected by each other's "blown" or lit-up state for example: Path 1 with Bulbs
Why do both bulbs A and B stay on when bulb C is burned out?|If C burns out then A and B are still in a closed path with the battery|because bulb a and b are still contained within a closed path with the battery|correct|: Bulbs A and B are NOT in a closed path until you pull out the power source-the battery pack. C doesn't last forever but I think your question is implying that just because it goes first this means that without its light bulb life or not, Project will work with/without closing circuit between bulbs at
Explain why circuit 2 is not a short circuit.|The battery in 2 is not in a closed path|because the two ends of the battery do not connect to one another|incorrect|: This is why it doesn't matter what node we choose as a source because the two ends of the battery do not connect to each other. In this case there can be no current at all or infinite observed value depending on your sense connections, but interpretation which you need help with math insturctor
Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.|Terminal 1 and the positive terminal are separated by the gap|because they are connected to opposite terminals|correct|: Always test the terminal you expect to be positive with neg1 and if it reads differently than tell your teacher.
